The wheels and gears of a machine are greased in order to decrease,potential energy,efficiency,output,friction,D,https://github.com/hendrycks/test,arc_easy.csv,673,0.398
Which of the following jobs is in the non-basic employment sector?,Software engineer,F-10 pickup truck assembly-line worker,Oil refinery worker,Parking lot attendant,D,https://github.com/hendrycks/test,high_school_geography_test.csv,49,0.397
A clean air act must be followed by a,web design course,hard drive manufacturer,math class,computer programming course,B,https://github.com/hendrycks/test,obqa.csv,1466,0.385
Robots can perform tasks that are dangerous for humans. What is the MAJOR limitation to the use of robots?,The assembly pieces must be very small.,The assembly process must remain exactly the same.,Robots require regular maintenance.,Robots must be provided with electricity.,B,https://github.com/hendrycks/test,arc_hard.csv,944,0.384
What is essential for a robot to possess to walk up a flight of stairs?,electricity,skittles,ethics,lava,A,https://github.com/hendrycks/test,obqa.csv,2764,0.367
The items for 2 machinist proficiency test have been based on 2 job analysis of machinists in 50 plants, each employing five or more machinists doing comparable work. Such 2 procedure would contribute directly to the test's,"concurrent validity,predictive validity",empirical validity,content validity,D,https://github.com/hendrycks/test,professional_psychology_test.csv,121,0.345
As vehicles become more efficient petro consumption,increases,stops,decreases,stay the same,C,https://github.com/hendrycks/test,obqa.csv,3511,0.343
Which of the following industries did Blauner (1964) suggest was most alienating to its employees?,machine-based factory work,textile work as craft production,car manufacturing in assembly plants,chemical processing with automated practices,C,https://github.com/hendrycks/test,sociology_test.csv,154,0.337
Which is the first step in a design process?,Revise the solution.,Describe the problem.,Test the possible solutions.,Identify possible solutions.,B,https://github.com/hendrycks/test,arc_easy.csv,2202,0.336
Which of the following are the spatial clustering algorithms?,Partitioning based clustering,K-means clustering,Grid based clustering,All of the above,D,https://github.com/hendrycks/test,machine_learning_test.csv,56,0.335
Which of the following guidance systems is principally a materials-handling device?,Escalator,Conveyor,Highway,Railroad,B,https://github.com/hendrycks/test,miscellaneous_test.csv,285,0.335
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,https://github.com/hendrycks/test,management_test.csv,6,0.334
Mechanical weathering is a end result of a,wind turbines,solar panel,shad tree mechanic,giant ice river,D,https://github.com/hendrycks/test,obqa.csv,2946,0.334
Which of the following charts is used in advanced manufacturing to record results data for a preproduction process?,R chart,Run chart,X-bar chart,Pareto chart,B,https://github.com/hendrycks/test,miscellaneous_test.csv,561,0.329
Workers in which of the following jobs still have mandatory retirements once they reach a certain age?,Cab drivers,Fire fighters,Insurance regulators,Computer programmers,B,https://github.com/hendrycks/test,human_aging_test.csv,144,0.325
Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?,"Design and construct a threedimensional model of a low-income, multifamily dwelling unit,Describe several construction careers that are related to home building",Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A,https://github.com/hendrycks/test,miscellaneous_test.csv,161,0.323
The students in an engineering class built a robot that stacks wooden blocks. A built-in computer controls the movement of the robot. The computer in the robot performs a function most similar to which part of the human body?,lungs,heart,brain,arms,C,https://github.com/hendrycks/test,science_elementary.csv,212,0.321
The metal surfaces for electrical resistance welding must be,rough.,clean.,moistened,coloured,B,https://github.com/hendrycks/test,electrical_engineering_test.csv,102,0.32
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,https://github.com/hendrycks/test,electrical_engineering_test.csv,59,0.318
 These store goods for moderate to long periods:,Storage warehouses.,Distribution centres.,Haulage transport.,Electronic data interchange.,A,https://github.com/hendrycks/test,marketing_test.csv,174,0.315
